name,salary_from,salary_to,salary_currency,area_name,published_at
Стажер в отдел IT,,,,Тюмень,2022-12-26T16:02:34+0300
Специалист внедрения и поддержки (удаленно),140000.0,,RUR,Москва,2022-12-26T19:56:16+0300
IT-инженер,100000.0,,RUR,Санкт-Петербург,2022-12-26T15:38:30+0300
IT-специалист/помощник системного администратора,60000.0,85000.0,RUR,Москва,2022-12-26T16:37:51+0300
Менеджер it-проектов,110000.0,170000.0,RUR,Москва,2022-12-26T13:43:18+0300
Специалист по IT,,70000.0,RUR,Воронеж,2022-12-26T17:59:15+0300
Специалист технической поддержки,90000.0,130000.0,RUR,Москва,2022-12-26T13:23:19+0300
Системный администратор,260000.0,,RUR,Москва,2022-12-26T16:38:24+0300
Менеджер по информационным технологиям,300000.0,500000.0,KZT,Астана,2022-12-26T13:06:54+0300
Technical Support Specialist,,2000.0,USD,США,2022-12-26T12:47:09+0300
Системный администратор,100000.0,150000.0,RUR,Санкт-Петербург,2022-12-26T17:02:37+0300
Сервисный инженер/IT специалист,80000.0,,RUR,Мурманск,2022-12-26T17:33:38+0300
Tech support / инженер технической поддержки,80000.0,,RUR,Тюмень,2022-12-26T13:04:21+0300
Специалист технической поддержки,,65000.0,RUR,Санкт-Петербург,2022-12-26T18:48:22+0300
Младший системный администратор,50000.0,60000.0,RUR,Москва,2022-12-26T19:35:48+0300
Специалист по IT,50000.0,,RUR,Краснодар,2022-12-26T17:49:01+0300
Account Manager,150000.0,,RUR,Пермь,2022-12-26T14:11:29+0300
Специалист ИТ / системный администратор,60000.0,,RUR,Краснодар,2022-12-26T13:40:57+0300
Project manager IT,100000.0,170000.0,RUR,Сербия,2022-12-26T17:20:15+0300
Системный администратор,60000.0,90000.0,RUR,Самара,2022-12-26T21:43:48+0300
Системный администратор,,,,Алматы,2022-12-26T15:51:37+0300
IT инженер технической поддержки,40000.0,,RUR,Псков,2022-12-26T19:01:39+0300
Account Manager,150000.0,,RUR,Новосибирск,2022-12-26T14:11:29+0300
Начальник IT-отдела,115000.0,145000.0,RUR,Санкт-Петербург,2022-12-26T19:33:15+0300
Специалист технической поддержки,40000.0,,RUR,Ижевск,2022-12-26T22:44:39+0300
Менеджер по проектам в IT компанию,,,,Москва,2022-12-26T14:08:31+0300
Начинающий выездной IT-cпециалист (IT-компания ЛЕММА),64000.0,150000.0,RUR,Москва,2022-12-26T16:59:56+0300
Системный администратор/Специалист технической поддержки 2-ая линия,65000.0,,RUR,Санкт-Петербург,2022-12-26T18:13:56+0300
Старший IT-специалист,,,,Алматы,2022-12-26T15:09:02+0300
IT директор,,,,Москва,2022-12-26T16:52:59+0300
